Dato,Tid,Vindretning,Vindstyrke,Vindkast
2024-08-15,02:10,160,3.3,4.8
2024-08-15,02:20,154,2.8,4.8
2024-08-15,02:30,149,2.5,4.8
2024-08-15,02:40,152,2.2,4.2
2024-08-15,02:50,165,3.1,5.4
2024-08-15,03:00,163,4.6,6.6
2024-08-15,03:10,150,4.3,7.2
2024-08-15,03:20,136,2.8,5.1
2024-08-15,03:30,144,3,6
2024-08-15,03:40,149,3.3,5.4
2024-08-15,03:50,148,3.6,5.4
2024-08-15,04:00,157,3.2,4.8
2024-08-15,04:10,154,3.4,5.4
2024-08-15,04:20,144,4.3,7.5
2024-08-15,04:30,139,4.3,8.4
2024-08-15,04:40,148,4,6.6
2024-08-15,04:50,154,4.5,6.9
2024-08-15,05:00,151,3.7,5.7
2024-08-15,05:10,146,4.3,7.2
2024-08-15,05:20,149,3.8,6
2024-08-15,05:30,165,4.8,7.8
2024-08-15,05:40,162,4.3,7.2
2024-08-15,05:50,157,4.2,6.3
2024-08-15,06:00,145,4.4,6.9
2024-08-15,06:10,141,4.9,9.3
2024-08-15,06:20,148,4.9,8.4
2024-08-15,06:30,147,3.9,7.5
2024-08-15,06:40,151,4.8,8.1
2024-08-15,06:50,158,4,6.6
2024-08-15,07:00,152,4.5,6.9
2024-08-15,07:10,158,5.3,8.7
2024-08-15,07:20,152,5.2,9.6
2024-08-15,07:30,148,4.4,7.5
2024-08-15,07:40,145,4.7,8.1
2024-08-15,07:50,141,4.8,9
2024-08-15,08:00,145,4.3,7.8
2024-08-15,08:10,153,4.1,7.2
2024-08-15,08:20,134,4.6,6.9
2024-08-15,08:30,139,5.6,9
2024-08-15,08:40,142,5.6,10.4
2024-08-15,08:50,138,4.9,7.8
2024-08-15,09:00,138,5.7,9.9
2024-08-15,09:10,140,5.3,9.3
2024-08-15,09:20,144,5.2,9
2024-08-15,09:30,143,4.4,7.8
2024-08-15,09:40,144,4.4,6.9
2024-08-15,09:50,141,4,6.9
2024-08-15,10:00,150,4.5,7.5
2024-08-15,10:10,144,4.2,6.9
2024-08-15,10:20,146,4,7.2
2024-08-15,10:30,142,4.3,7.2
2024-08-15,10:40,145,4.7,8.4
2024-08-15,10:50,146,5,8.1
2024-08-15,11:00,139,5.1,8.4
2024-08-15,11:10,144,4.7,7.8
2024-08-15,11:20,144,4.5,7.5
2024-08-15,11:30,144,3.9,6.9
2024-08-15,11:40,145,4.6,7.2
2024-08-15,11:50,142,5,9.9
2024-08-15,12:00,141,4.9,8.1
2024-08-15,12:10,140,4.3,7.5
2024-08-15,12:20,140,5.2,9.6
2024-08-15,12:30,149,5.8,13.4
2024-08-15,12:40,164,4.6,8.7
2024-08-15,12:50,165,6.3,9.9
2024-08-15,13:00,163,5.7,9.9
2024-08-15,13:10,160,4.9,8.7
2024-08-15,13:20,144,4.6,8.4
2024-08-15,13:30,154,6.6,10.2
2024-08-15,13:40,145,4.9,8.7
2024-08-15,13:50,145,4.2,7.2
2024-08-15,14:00,140,4.6,8.4
2024-08-15,14:10,141,3.9,6.9
2024-08-15,14:20,142,3.1,4.8
2024-08-15,14:30,146,3.6,6.9
2024-08-15,14:40,139,3.3,6
2024-08-15,14:50,142,4.5,7.5
2024-08-15,15:00,144,4.9,9.3
2024-08-15,15:10,145,4.4,7.5
2024-08-15,15:20,147,4.9,8.1
2024-08-15,15:30,144,5.1,9.9
2024-08-15,15:40,150,4,7.8
2024-08-15,15:50,145,5,9
2024-08-15,16:00,143,4.9,9.3
2024-08-15,16:10,144,5.4,8.7
2024-08-15,16:20,145,4.3,7.5
2024-08-15,16:30,143,5.9,11
2024-08-15,16:40,144,6,10.7
2024-08-15,16:50,147,5.3,9.6
2024-08-15,17:00,139,5.5,10.2
2024-08-15,17:10,146,5,10.4
2024-08-15,17:20,147,4.2,9.6
2024-08-15,17:30,143,5.2,10.2
2024-08-15,17:40,146,5.4,9
2024-08-15,17:50,146,5.8,10.4
2024-08-15,18:00,153,4.8,9.3
2024-08-15,18:10,147,4.1,7.8
2024-08-15,18:20,153,5.2,9.9
2024-08-15,18:30,147,3.7,7.8
2024-08-15,18:40,147,4.1,7.8
2024-08-15,18:50,153,5.2,8.4
2024-08-15,19:00,173,4.3,8.1
2024-08-15,19:10,272,5.7,11
2024-08-15,19:20,293,6.8,14.3
2024-08-15,19:30,309,5.6,11.9
2024-08-15,19:40,318,4.5,8.7
2024-08-15,19:50,330,3.6,5.7
2024-08-15,20:00,326,2.8,4.8
2024-08-15,20:10,334,3.7,6.3
2024-08-15,20:20,328,3.4,6
2024-08-15,20:30,307,3.1,5.4
2024-08-15,20:40,317,2.8,4.8
2024-08-15,20:50,307,1.6,3.3
2024-08-15,21:00,309,1.9,3.3
2024-08-15,21:10,317,2.6,5.7
2024-08-15,21:20,321,2.8,6
